iter	Logloss
0	0.6807275089
1	0.6691337337
2	0.657890639
3	0.6455476923
4	0.6337143681
5	0.6231601452
6	0.6107743857
7	0.6010178911
8	0.5908653421
9	0.5810326696
10	0.5724832448
11	0.5643678738
12	0.555592674
13	0.5472780831
14	0.539352023
15	0.5323485076
16	0.5250192308
17	0.518377441
18	0.5119272793
19	0.5041232294
20	0.495994129
21	0.4905167279
22	0.4845819513
23	0.478239549
24	0.4727542496
25	0.4675421567
26	0.4627159678
27	0.4583687624
28	0.453810345
29	0.4489017678
30	0.4429774623
31	0.4388781423
32	0.4349585581
33	0.4306202094
34	0.4261274651
35	0.4226273658
36	0.4186470281
37	0.4155562832
38	0.4121645594
39	0.4090211299
40	0.4050340898
41	0.4019291256
42	0.3985404569
43	0.3952780985
44	0.3924935107
45	0.3893967355
46	0.3864823238
47	0.3836557523
48	0.3816556333
49	0.3791572061
50	0.3765496895
51	0.3739374472
52	0.3711809199
53	0.3685536916
54	0.3650202951
55	0.3630043214
56	0.3612325451
57	0.3587206262
58	0.3565449582
59	0.354152459
60	0.3520558047
61	0.3498958597
62	0.3481737647
63	0.345971334
64	0.3438838245
65	0.3415903631
66	0.3395806845
67	0.3381513998
68	0.3362703542
69	0.3340325386
70	0.3322602525
71	0.3298997158
72	0.3285266062
73	0.3271047548
74	0.3254000305
75	0.323729393
76	0.3214144391
77	0.319399485
78	0.3182490596
79	0.3163893892
80	0.3146538672
81	0.312910082
82	0.3116102356
83	0.310027238
84	0.3086608527
85	0.3069924722
86	0.3057954075
87	0.3045202142
88	0.303161978
89	0.3021465663
90	0.300983012
91	0.2999395077
92	0.2984377401
93	0.2974578376
94	0.2961251848
95	0.2951831816
96	0.2942096993
97	0.2930218275
98	0.2917684375
99	0.2905571367
100	0.289631119
101	0.2885407803
102	0.2873941682
103	0.2865143096
104	0.2853850657
105	0.28471228
106	0.2836805002
107	0.2826143871
108	0.2810746419
109	0.2800839031
110	0.2789464329
111	0.2779701383
112	0.2770031236
113	0.2759782654
114	0.2750432522
115	0.2742091761
116	0.2734657597
117	0.2722689267
118	0.2706934316
119	0.2697117261
120	0.2688063385
121	0.26807722
122	0.2671573568
123	0.2662968908
124	0.2654756721
125	0.2647777623
126	0.2638883627
127	0.2630587828
128	0.2620224646
129	0.260933551
130	0.2600786853
131	0.2592549702
132	0.258369757
133	0.2575252456
134	0.256655505
135	0.2558527238
136	0.2549643498
137	0.2543205318
138	0.2535553125
139	0.2524985335
140	0.251786492
141	0.2506505065
142	0.2500103795
143	0.249366979
144	0.2484181824
145	0.2472762154
146	0.2465311717
147	0.2457294578
148	0.245101375
149	0.2444572104
150	0.2435887501
151	0.2428913057
152	0.2422060382
153	0.2414152342
154	0.2405949295
155	0.2396828625
156	0.2390123473
157	0.2385066933
158	0.2379162231
159	0.2372933839
160	0.2367471568
161	0.2361901349
162	0.2355817028
163	0.2348712339
164	0.2340822147
165	0.2337139204
166	0.2332358417
167	0.232596002
168	0.2319955232
169	0.2314239152
170	0.2307501018
171	0.2300483244
172	0.2292534082
173	0.228662792
174	0.2281915555
175	0.2273972978
176	0.2266999988
177	0.226151992
178	0.2252889433
179	0.2246318244
180	0.2241536285
181	0.2234567683
182	0.2227990688
183	0.2224313179
184	0.2218367276
185	0.2212558589
186	0.2206178593
187	0.2200541238
188	0.2196529092
189	0.218970189
190	0.2185464597
191	0.2178993291
192	0.2175744877
193	0.2170235459
194	0.2164948688
195	0.2157818742
196	0.2152597813
197	0.2145748979
198	0.2141918455
199	0.2136309202
200	0.2132099566
201	0.2127349352
202	0.212365672
203	0.2119764652
204	0.2115955707
205	0.2112089622
206	0.21089034
207	0.2105942504
208	0.2102084362
209	0.2097967225
210	0.2094430435
211	0.2090923101
212	0.208554563
213	0.2080367152
214	0.2072526119
215	0.2068137652
216	0.2063404394
217	0.2056948828
218	0.2052684196
219	0.2048526999
220	0.2045032677
221	0.2040871039
222	0.2034689208
223	0.2030035204
224	0.202440897
225	0.2020493489
226	0.2016326114
227	0.201017985
228	0.2002921894
229	0.1997835108
230	0.1992167074
231	0.1988917539
232	0.1984203291
233	0.1977552025
